id,name,birthdate,country,atp_rank,points,hard_points,clay_points,grass_points
35559,Hsin-Han Lee/Artem Sitak,,N/A,,,,,
35560,Martin Fischer/Rogier Wassen,,N/A,,,,,
35561,Thiemo de Bakker/Melle van Gemerden,,N/A,,,,,
35562,Ricardo Hocevar/Fabricio Neis,,N/A,,,,,
35563,Yacine Benaissa,1988-10-09,ALG,,,,,
35564,Mehdi Messaoudene,1997-07-19,ALG,,,,,
35565,Daniel Nickels,1997-02-25,AUS,,,,,
35566,Dimitri Morogiannis,1999-02-17,AUS,,,,,
35567,Omar Fields,1997-03-06,AUS,,,,,
35568,Zhenhua An,1990-01-21,CHN,,,,,
35569,Houfong Hoe,1978-11-01,CHN,,,,,
35570,Hong-Bo Deng,1989-10-31,CHN,,,,,
35571,Sheng Hao Jin,1995-01-28,CHN,,,,,
35572,Xu Fan Zhou,1997-02-16,CHN,,,,,
35573,Bingyu Yu,1999-02-18,CHN,,,,,
35574,Huimuk Jang,1998-06-08,KOR,,,,,
35575,Tommy Chavez,1990-07-14,USA,,,,,
35576,Blake Murry,1985-07-24,USA,,,,,
35577,Eric Rutledge,1997-02-17,USA,,,,,
35578,Joseph Davenport,1995-12-05,USA,,,,,
35579,Jeff Jes Simpson,1999-01-05,USA,,,,,
35580,Jiri Srna,1996-06-12,CZE,,,,,
35581,Francesco Lambri,1995-10-14,ITA,,,,,
35582,Tomas Hornak,1985-03-23,SVK,,,,,
35583,Ondrej Plisek,1996-10-28,CZE,,,,,
35584,Jan Vrba,1999-04-29,CZE,,,,,
35585,Filip Simek,1997-10-24,CZE,,,,,
35586,Sandro Bernardelli Lopez,1977-03-26,ITA,,,,,
35587,Anmar Faleh Alhogbani,2002-01-15,KSA,,,,,
35588,Nishangan Nadaraja,1996-11-06,SRI,,,,,
35589,David Rennhak,1994-03-23,GER,,,,,
35590,Nico Vuckovic,1997-06-07,SUI,,,,,
35591,Joshua Zeoli,1995-09-15,SUI,,,,,
35592,Cedric Rudolph,1998-03-29,SUI,,,,,
35593,Thomas Linge,1995-12-06,NOR,,,,,
35594,Andreas Backlund,1996-10-02,SWE,,,,,
35595,Max Lindqvist,1996-04-13,SWE,,,,,
35596,Eduardo Santana,,BRA,,,,,
35597,Gabriel Decamps,1999-08-07,BRA,,,,,
35598,Guilherme Dumit,1996-01-29,BRA,,,,,
35599,Lucas Koelle,1998-06-01,BRA,,,,,
35601,Matheus Haruo Yoshida Moucachen,1996-01-18,BRA,,,,,
35602,Phillip Reller,1998-05-22,BRA,,,,,
35603,Fernando Lourenco,1996-06-06,BRA,,,,,
35604,Renan Hanayama,1996-08-13,BRA,,,,,
35605,Renato Lima,1998-10-27,BRA,,,,,
35606,Andres Punti,1996-05-27,CHI,,,,,
35607,Jose Pablo Andres,1998-08-08,MEX,,,,,
35608,Alejandro Pulido,1991-05-18,MEX,,,,,
35609,Mijael Arturo Martinez,1990-08-03,MEX,,,,,
35610,Josemaria Andres,1997-08-15,MEX,,,,,
35611,Oliver Torres,,MEX,,,,,
35612,Marin Cilic/Oliver Marach,,N/A,,,,,
35613,Romain Arneodo/Benjamin Balleret,,N/A,,,,,
35614,Kevin Anderson/Jurgen Melzer,,N/A,,,,,
35615,Miguel Martinez Martinez,,MEX,,,,,
35616,Jose Hernandez-Fernandez/Eduardo Schwank,,N/A,,,,,
35617,David Fleming/Victor Nunez,,N/A,,,,,
35618,Dennis Novak/Yannik Reuter,,N/A,,,,,
35619,Alejandro Fabbri/Tomas Lipovsek Puches,,N/A,,,,,
35620,Federico Coria/Patricio Heras,,N/A,,,,,
35621,Wilson Leite/Gianluigi Quinzi,,N/A,,,,,
35622,Giovanni Lapentti/Wayne Odesnik,,N/A,,,,,
35623,James Duckworth/Denis Kudla,,N/A,,,,,
35624,Pedro Cachin/Guillermo Nunez,,N/A,,,,,
35625,Hugo Dellien/Renzo Olivo,,N/A,,,,,
35626,Scott Lipsky/Michael Venus,,N/A,,,,,
35627,Siddhartha Chappidi/Joel Link,,N/A,,,,,
35628,Andrea Arnaboldi/Alex Jr. Bogomolov,,N/A,,,,,
35629,Ruben Bemelmans/Michael Russell,,N/A,,,,,
35630,Facundo Bagnis/Gerald Melzer,,N/A,,,,,
35631,Jordan Kerr/Alex Kuznetsov,,N/A,,,,,
35632,Marin Draganja/Henri Kontinen,,N/A,,,,,
35633,Miguel Gallardo-Valles/Alan Nunez Aguilera,,N/A,,,,,
35634,Lucas Gomez/Andres Zepeda,,N/A,,,,,
35635,Adrian Menendez-Maceiras/Agustin Velotti,,N/A,,,,,
35636,Christopher Diaz-Figueroa/Victor Estrella,,N/A,,,,,
35637,Nils Langer/Peter Torebko,,N/A,,,,,
35638,Tigre Hank/Manuel Sanchez,,N/A,,,,,
35639,Erik Crepaldi/Luis David Martinez,,N/A,,,,,
35640,Chase Buchanan/Nicolas Meister,,N/A,,,,,
35641,Alessio Di Mauro/Daniel Munoz-De La Nava,,N/A,,,,,
35642,Ivan Endara/Darian King,,N/A,,,,,
35643,Adam El Mihdawy/Chris Letcher,,N/A,,,,,
35644,Mathieu Perchicot,1992-08-28,FRA,,,,,
35645,Felipe Carvalho/Renato Lima,,N/A,,,,,
35646,Marcelo Demoliner/Gastao Elias,,N/A,,,,,
35647,Pedro Sakamoto/Joao Pedro Sorgi,,N/A,,,,,
35648,Frederico Gil/Axel Michon,,N/A,,,,,
35649,Duilio Beretta/Juan Ignacio Londero,,N/A,,,,,
35650,Alberto Brizzi/Mohamed Safwat,,N/A,,,,,
35651,Maximo Gonzalez/Andres Molteni,,N/A,,,,,
35652,Andre Ghem/Flavio Saretta,,N/A,,,,,
35653,Kianosh Fakharzadeh,1992-10-06,IRI,,,,,
35654,Khumoun Abdumalikov,1999-07-17,UZB,,,,,
35655,Ruben Ramirez-Hidalgo/Franko Skugor,,N/A,,,,,
35656,Julian Alonso-Pintor/Hugo Armando,,N/A,,,,,
35657,Sebastian Mejia,1998-06-22,COL,,,,,
35658,Sergio Gomez,1996-03-29,COL,,,,,
35659,David Gonzalez Villegas,1997-02-10,COL,,,,,
35660,Juan Duque,1997-11-29,COL,,,,,
35661,Daniel Ospina,1987-09-21,COL,,,,,
35662,Kevin Alejandro Pinoargote,1997-06-20,ECU,,,,,
35663,Cristian Camilo Bigott Galeano,1998-09-30,COL,,,,,
35664,Carlos Cardona,1983-11-05,COL,,,,,
35665,Juan Alejandro Jimenez Osorio,1998-06-10,COL,,,,,
35666,Carlos Henrique Hooper,1995-11-28,BRA,,,,,
35667,Kristian Lozan,1998-10-26,RUS,,,,,
35668,Bjoern Petersen,1997-02-03,GER,,,,,
35669,Alexander Bilcik,1985-08-12,AUT,,,,,
35670,Ivan Avdeev,1996-07-08,RUS,,,,,
35671,Andrej Wawrzyczek,1988-01-20,CZE,,,,,
35672,Michalis Kostikoglou,1995-12-15,GRE,,,,,
35673,Ali Razavi,1998-02-15,IRI,,,,,
35674,Erfan Sarjooghian,1993-09-22,IRI,,,,,
35675,Mohammad Jafarpour Sadegh,1996-10-31,IRI,,,,,
35676,Ali Arzani,1995-08-08,IRI,,,,,
35677,Vadim Ostrovskij,1953-10-30,RUS,,,,,
35678,Angelos Ioannides,2000-01-25,CYP,,,,,
35679,Luis Miguel Velasquez,1998-12-06,PHI,,,,,
35680,Abdulrahman Al Janahi,1994-11-15,UAE,,,,,
35681,Raphael Calzi,1997-07-16,LUX,,,,,
35682,Atly Kurbanov,1996-03-09,TKM,,,,,
35683,Vincentiu Andrei Niculescu,1999-08-17,ROU,,,,,
35684,Aleksandr Ernepesov,1995-02-27,TKM,,,,,
35685,Georgiy Pochay,1995-05-25,TKM,,,,,
35686,Niko Nylund,1998-09-08,FIN,,,,,
35687,Octave Bellet,1997-07-02,FRA,,,,,
35688,Bahtiyar Atabaev,1990-09-12,TKM,,,,,
35689,Javlon Jumanov,1995-09-02,UZB,,,,,
35690,Azizhon Turgunov,1999-07-31,UZB,,,,,
35691,Muhammad Gaffarov,1998-06-09,UZB,,,,,
35692,Ahad Ermatov,1997-05-16,UZB,,,,,
35693,Davud Amirov,1999-02-02,RUS,,,,,
35694,Ziyovuddin Jumaboev,1997-03-09,UZB,,,,,
35695,Bobur Azizov,1996-12-06,UZB,,,,,
35697,Boburmirzo Odilov,1998-11-05,UZB,,,,,
35698,Jasurbek Axmedov,1997-07-22,UZB,,,,,
35699,Muhammad Sanayev,1995-04-27,UZB,,,,,
35700,Nikita Moroz,1997-02-09,UZB,,,,,
35701,Nathan Perrone,1998-09-06,USA,,,,,
35702,Leonardo Couto,1997-12-04,BRA,,,,,
35703,Mario Santos Neto,,BRA,,,,,
35704,Roberto Bautista Agut/Albert Montanes,,N/A,,,,,
35705,Fabio Fognini/Jurgen Melzer,,N/A,,,,,
35706,Tomasz Bednarek/Mate Pavic,,N/A,,,,,
35707,Denis Istomin/Lukas Rosol,,N/A,,,,,
35708,Lukas Dlouhy/Jonathan Marray,,N/A,,,,,
35709,Victor Hanescu/Andrei Patrui,,N/A,,,,,
35710,Mateusz Kowalczyk/Purav Raja,,N/A,,,,,
35711,Aljaz Bedene/Jonathan Eysseric,,N/A,,,,,
35712,Alberto Bagarello/Alberto Giraudo,,N/A,,,,,
35713,Pietro Rondoni/Stefano Travaglia,,N/A,,,,,
35714,Andrea Arnaboldi/Marco Crugnola,,N/A,,,,,
35715,Jan Hajek/Andrej Martin,,N/A,,,,,
35716,Guillaume Rufin/Maxime Teixeira,,N/A,,,,,
35717,Dustin Brown/Alexander Satschko,,N/A,,,,,
35718,Alberto Brizzi/Lucas Pouille,,N/A,,,,,
35719,Martin Alund/Patricio Heras,,N/A,,,,,
35720,Leonardo Couto/Mario Santos Neto,,N/A,,,,,
35721,Gabriel Alejandro Hidalgo/Juan Ignacio Londero,,N/A,,,,,
35722,Ariel Behar/David Souto,,N/A,,,,,
35723,Ricardo Hocevar/Wilson Leite,,N/A,,,,,
35724,Jose Pereira/Alexandre Tsuchiya,,N/A,,,,,
35725,Lukas Lacko/Grega Zemlja,,N/A,,,,,
35726,Ti Chen/James Cluskey,,N/A,,,,,
35727,Daniel Cox/Di Wu,,N/A,,,,,
35728,Yuichi Sugita/Danai Udomchoke,,N/A,,,,,
35729,Saketh-Sai Myneni/Hsien-Yin Peng,,N/A,,,,,
35730,Evan King/Devin Mccarthy,,N/A,,,,,
35731,Collin Altamirano/Stefan Kozlov,,N/A,,,,,
35732,Facundo Bagnis/Alex Jr. Bogomolov,,N/A,,,,,
35733,Jordan Kerr/Gerald Melzer,,N/A,,,,,
35734,Robby Ginepri/Alex Kuznetsov,,N/A,,,,,
35735,Ilija Bozoljac/Michael Venus,,N/A,,,,,
35736,Franko Skugor/James Ward,,N/A,,,,,
35737,Jesse Huta Galung/Stephane Robert,,N/A,,,,,
35738,Hsin-Han Lee/Matt Reid,,N/A,,,,,
35739,Somdev Devvarman/Ante Pavic,,N/A,,,,,
35740,Lukas Jastraunig/Marc Rath,,N/A,,,,,
35741,Jorge Daniel Rodriguez Rey,1997-11-24,COL,,,,,
35742,Thibaut Gineste,1995-02-11,FRA,,,,,
35743,Jules Mercier,1995-05-16,FRA,,,,,
35744,Ciprian Onufrei,1996-09-12,ROU,,,,,
35745,Sylvain Gimenez Ubeda,1985-05-18,FRA,,,,,
35746,Maxime Mitard,1991-09-24,FRA,,,,,
35747,Pierre Pascaretti,1997-08-22,FRA,,,,,
35748,Victor Prezelin,1995-02-26,FRA,,,,,
35749,Victorien Lemaire,1992-08-16,FRA,,,,,
35750,Nicolas Rouanet,1996-03-10,FRA,,,,,
35751,Julien Duroux,1997-05-06,FRA,,,,,
35752,Yanis Chettar,1996-07-21,FRA,,,,,
35753,Sebastien Bonnabaud,1983-09-27,FRA,,,,,
35754,Dong Joon Kim,1995-05-02,KOR,,,,,
35755,Eun Chong Shin,1996-11-18,KOR,,,,,
35756,Joung Wook Lee,1994-11-11,KOR,,,,,
35757,Seong Taek Im,1998-08-08,KOR,,,,,
35758,Jin-Won Jeong,1997-04-05,KOR,,,,,
35759,Min-Wook Cho,1989-12-09,KOR,,,,,
35760,Arthur Oenning Fagundes,1996-02-14,BRA,,,,,
35761,Rodrigo Ristow Hadlich,1997-07-18,BRA,,,,,
35762,Nikhil Joshi,1994-10-17,RSA,,,,,
35763,James Ryan,1997-02-03,GBR,,,,,
35764,Paul Midgley,1995-10-12,GBR,,,,,
35765,Piers Farhang,1997-04-09,GBR,,,,,
35766,Sam Bayda,1996-06-20,GBR,,,,,
35767,Vaggelis Stilianoudakis,1997-12-10,GRE,,,,,
35768,Mahdi Souri,1996-06-12,IRI,,,,,
35769,Masood Naghashzadeh,1985-06-09,IRI,,,,,
35770,Mohammad Mahdi Sohrabi,1999-01-21,IRI,,,,,
35772,Amir Mohammad Adabjou,1999-02-02,IRI,,,,,
35773,Mohsen Taheri,1992-07-20,IRI,,,,,
35774,Gerard Codino,1960-08-26,FRA,,,,,
35775,Yaroslaw Borys,1997-03-07,MEX,,,,,
35776,Oscar Aragon,1997-03-10,MEX,,,,,
35778,Franco Alejandro Guerrero,1995-03-25,MEX,,,,,
35779,Santiago Cevallos,1995-12-30,MEX,,,,,
35780,Orlando Alcantara,1972-03-27,MEX,,,,,
35781,Hugo Israel Pacheco Soto,1999-01-18,MEX,,,,,
35782,Antonio Sandoval Alvarado,1997-07-21,MEX,,,,,
35783,Sergio Escarcega,1996-08-26,MEX,,,,,
35784,Luis Flores,1997-09-24,MEX,,,,,
35785,Francisco Alvarez Hernandez,1996-12-12,MEX,,,,,
35786,Dante Rojas,1993-04-26,MEX,,,,,
35787,Mateo Warman Guerra,1995-09-11,MEX,,,,,
35788,Fernando Rojas Uribe,1996-02-05,MEX,,,,,
35789,Gabriel Alvarez Rodriguez,1995-05-22,MEX,,,,,
35790,Eric Domingo,1997-12-25,ESP,,,,,
35791,Alonso Tellez Agudiez,1996-05-18,ESP,,,,,
35792,David Redondo Pereira,1995-04-06,ESP,,,,,
35793,Jose Pineda,1997-10-13,ESP,,,,,
35794,Sergio Redondo Pereira,1995-04-06,ESP,,,,,
35795,Alvaro Terron Gonzalez,1996-06-05,ESP,,,,,
35796,Yves Traber,1994-03-26,SUI,,,,,
35797,Salar Saraydarpour,1995-07-13,USA,,,,,
35798,Andrey Pechkin,1996-02-20,RUS,,,,,
35799,Yuriy Rogusskiy,1995-11-03,TKM,,,,,
35800,Gurbanberdi Gurbanberdiyev,1995-01-17,TKM,,,,,
35801,Chun-Chi Han,1996-08-12,TPE,,,,,
35802,Chen Chang,1997-10-09,TPE,,,,,
35803,Liang-Yu Lin,1997-11-25,TPE,,,,,
35804,Tin Chen,1997-12-25,TPE,,,,,
35805,Hsin-En Liang,1997-02-19,TPE,,,,,
35806,Han-Yu Chen,1997-05-02,TPE,,,,,
35807,Hao Fan Wang,1997-05-04,CHN,,,,,
35808,Jia Rui Xu,1996-11-30,CHN,,,,,
35809,Ming Zhong,1997-01-18,CHN,,,,,
35810,Yu Fan Chen,1995-08-19,CHN,,,,,
35811,Eric Lavaud,1978-10-09,FRA,,,,,
35812,Anis Ben Cheikh,1969-05-27,TUN,,,,,
35813,Sofiene El Bahri,1983-09-04,TUN,,,,,
35814,Courage Okungbowa,1995-03-29,USA,,,,,
35815,Allen Vinson,,USA,,,,,
35816,Terrell Whitehurst,1996-02-21,USA,,,,,
35817,Emil Vassilev,1989-02-15,BUL,,,,,
35818,Paolo Cucalon Herrera,1998-03-20,COL,,,,,
35819,Rui Machado/Frederico Ferreira Silva,,N/A,,,,,
35820,Matthew Ebden/Dmitry Tursunov,,N/A,,,,,
35821,Carlos Berlocq/Pablo Carreno-Busta,,N/A,,,,,
35822,Federico Delbonis/Alejandro Falla,,N/A,,,,,
35823,Lukas Dlouhy/Mate Pavic,,N/A,,,,,
35824,Dustin Brown/Julian Knowle,,N/A,,,,,
35825,Tomasz Bednarek/Marin Draganja,,N/A,,,,,
35826,Ruikai Wang/Rui-Xuan Wang,,N/A,,,,,
35827,James Cluskey/Saketh-Sai Myneni,,N/A,,,,,
35828,Peng-Xiang Gong/Xiao Gong,,N/A,,,,,
35829,Richard Becker/Jeevan Nedunchezhiyan,,N/A,,,,,
35830,Borna Coric/Oliver Golding,,N/A,,,,,
35831,Laurynas Grigelis/Nikola Mektic,,N/A,,,,,
35832,Alexander Kudryavtsev/Roberto Ortega-Olmedo,,N/A,,,,,
35833,Daniel Cox/Mao-Xin Gong,,N/A,,,,,
35834,Chase Buchanan/Lukas Storck,,N/A,,,,,
35835,John Millman/Luke Saville,,N/A,,,,,
35836,Hiroki Moriya/Di Wu,,N/A,,,,,
35837,Chih-Jen Ho/Jui-Chen Hung,,N/A,,,,,
35838,Chieh-Fu Wang/Amir Weintraub,,N/A,,,,,
35839,Jason Jung/Shao-Chi Yang,,N/A,,,,,
35840,Liang-Chi Huang/Shuichi Sekiguchi,,N/A,,,,,
35841,Toshihide Matsui/Rajeev Ram,,N/A,,,,,
35842,Ting Yu Chuang/Ching-Mou Yu,,N/A,,,,,
35843,Ti Chen/Go Soeda,,N/A,,,,,
35844,Austin Krajicek/John-Patrick Smith,,N/A,,,,,
35845,Jakub Lustyk/David Novak,,N/A,,,,,
35846,Andrej Martin/Jaroslav Pospisil,,N/A,,,,,
35847,Olivier Charroin/Mateusz Kowalczyk,,N/A,,,,,
35848,Andrey Kuznetsov/Adrian Menendez-Maceiras,,N/A,,,,,
35849,Steven Diez/Marton Fucsovics,,N/A,,,,,
35850,Alessandro Motti/Matteo Viola,,N/A,,,,,
35851,Dominik Kellovsky/Pavel Snobel,,N/A,,,,,
35852,Juan Manuel Benitez Chavarriaga/Michael Quintero,,N/A,,,,,
35853,Ariel Behar/Juan-Carlos Spir,,N/A,,,,,
35854,Wilson Leite/Juan Pablo Paz,,N/A,,,,,
35855,Theodoros Angelinos/Yannik Reuter,,N/A,,,,,
35856,Tiago Fernandes/Tomas Lipovsek Puches,,N/A,,,,,
35857,Sergio Galdos/Roberto Maytin,,N/A,,,,,
35858,Ivan Endara/David Souto,,N/A,,,,,
35859,Gonzalo Escobar/Ryusei Makiguchi,,N/A,,,,,
35860,Marcelo Demoliner/Carlos Salamanca,,N/A,,,,,
35861,Bruno Lorenzi/Paolo Lorenzi,,N/A,,,,,
35862,Bruno Lorenzi,,ITA,,,,,
35863,Sekou Bangoura/Evan King,,N/A,,,,,
35864,Takanyi Garanganga/Sanam Singh,,N/A,,,,,
35865,Darian King/Yoshihito Nishioka,,N/A,,,,,
35866,Collin Altamirano/Alex Rybakov,,N/A,,,,,
35867,Thanasi Kokkinakis/Jason Murray Kubler,,N/A,,,,,
35868,Benjamin Lock/Marco Aurelio Nunez,,N/A,,,,,
35870,Facundo Arguello/Inigo Cervantes,,N/A,,,,,
35871,Flavio Cipolla/Julian Reister,,N/A,,,,,
35872,Juan Lizariturry/Lamine Ouahab,,N/A,,,,,
35873,Ante Pavic/Goran Tosic,,N/A,,,,,
35874,Pierre-Hugues Herbert/Adil Shamasdin,,N/A,,,,,
35875,Ignacio Martinez (USA),1999-01-13,USA,,,,,
35876,Johannes Stefanus Kriegler Brink,1987-10-05,RSA,,,,,
35877,Erik Crepaldi/Nikita Kryvonos,,N/A,,,,,
35878,Zacharie El Ayat,1997-03-21,EGY,,,,,
35879,Andriej Kapas/Blazej Koniusz,,N/A,,,,,
35880,Terrell Whitehurst/Terrence Whitehurst,,N/A,,,,,
35881,Amaury Delmas,1998-04-01,FRA,,,,,
35882,Jonathan Gomont,1998-02-17,FRA,,,,,
35883,Mathieu Scaglia,1998-11-23,FRA,,,,,
35884,Jun Su Kim,1994-10-11,KOR,,,,,
35885,Hyeong-Min Kim,1994-08-28,KOR,,,,,
35886,Omin Kwon,1995-06-23,KOR,,,,,
35887,Ari Romo,1999-07-01,MEX,,,,,
35888,Emilio Aballe,1994-09-17,MEX,,,,,
35891,Jose Roberto Gueiors Da Silva,1986-10-20,BRA,,,,,
35892,Elio Jose Ribeiro Lago,1997-12-31,BRA,,,,,
35893,Ruy Guedes Teixeira,1996-10-05,BRA,,,,,
35894,Joao Paulo De Oliveira Silva,1991-09-11,BRA,,,,,
35895,Gabriel Carneiro Torres Goncalves,1997-11-10,BRA,,,,,
35896,Oliver Levi,1997-03-24,GBR,,,,,
35897,Mohammad Karegaran,1998-07-12,IRI,,,,,
35898,Reza Nategh,1984-12-15,IRI,,,,,
35899,Ahmmad Jafarpour Sadegh,1999-09-01,IRI,,,,,
35900,Hootan Ghesmatirezaei,1993-09-04,IRI,,,,,
35901,Uri Vodavoz,1996-10-28,ISR,,,,,
35902,Royi Lasowski,1997-06-05,GER,,,,,
35903,Roee Benya,2000-02-18,ISR,,,,,
35904,Karsten Windler,1981-05-02,GER,,,,,
35905,Mikael Sandstrom,1985-04-18,SWE,,,,,
35906,Stanislav Nefedov,1986-09-16,RUS,,,,,
35907,Alexander Sunke,1992-11-25,DEN,,,,,
35908,Niko Muradashvili,1995-09-03,RUS,,,,,
35909,Dawson Stento,1995-01-31,USA,,,,,
35910,Vitaliy Pereverzev,1981-01-04,KAZ,,,,,
35911,Alexander Gitin,1996-02-26,USA,,,,,
35912,Robert Slutsky,2000-09-09,USA,,,,,
35913,Thomas Brown,1998-08-28,USA,,,,,
35914,Matej Paulin,1992-03-27,CZE,,,,,
35915,Taylor Geiger,1993-02-02,USA,,,,,
35916,Joey Unkenholz,1986-04-02,AUS,,,,,
35917,Julian Rozenstein,1996-09-21,USA,,,,,
35918,Juan-Manuel Galarza,1980-10-04,ARG,,,,,
35919,Varoon Sahgal,1984-01-10,USA,,,,,
35920,Yuchen Wu,1995-04-15,CHN,,,,,
35921,Erik Olliges,1998-05-28,USA,,,,,
35922,Marko Vukalovic,1995-05-23,SRB,,,,,
35923,Gregory Anderson (USA),1996-12-17,USA,,,,,
35924,Michael Atlesonn Staff,2000-05-04,NOR,,,,,
35925,Simon Cote,1995-10-19,CAN,,,,,
35926,David Pfister,1989-04-17,USA,,,,,
35927,Yosuke Narahara,1995-01-13,JPN,,,,,
35928,Beau Pelletier,1999-02-09,USA,,,,,
35929,Eric Zwemer,1998-03-06,USA,,,,,
35930,Abror Ashuraliyev,1995-01-11,UZB,,,,,
35931,Gianmarco De Santis,,ITA,,,,,
35932,Luca Mancini,1997-11-08,ITA,,,,,
35933,Loic Ratsaratany,1999-05-31,FRA,,,,,
35934,James Cluskey/John Millman,,N/A,,,,,
35935,Yong-Kyu Lim/Sang-Woo Noh,,N/A,,,,,
35936,Marcelo Arevalo/Lukas Lacko,,N/A,,,,,
35937,Hsien-Yin Peng/Rajeev Ram,,N/A,,,,,
35938,Fabio Fognini/Santiago Gonzalez,,N/A,,,,,
35939,Tomas Berdych/John Isner,,N/A,,,,,
35940,Milos Raonic/Andreas Seppi,,N/A,,,,,
35941,Tomasz Bednarek/Florin Mergea,,N/A,,,,,
35942,Jesse Huta Galung/Goran Tosic,,N/A,,,,,
35943,Andrea Arnaboldi/Flavio Cipolla,,N/A,,,,,
35944,Radu Albot/Artem Sitak,,N/A,,,,,
35945,Daniele Bracciali/Pablo Cuevas,,N/A,,,,,
35946,Danilo Gargano/Alessio Lucchetti,,N/A,,,,,
35948,Maxime Chazal/Maxime Tchoutakian,,N/A,,,,,
35949,Jordan Kerr/Fabrice Martin,,N/A,,,,,
35950,Christopher Kas/Frank Moser,,N/A,,,,,
35951,Jonathan Eysseric/Marc Gicquel,,N/A,,,,,
35952,Benjamin Balleret/Alessandro Motti,,N/A,,,,,
35953,Denis Kudla/Joao Souza,,N/A,,,,,
35954,Philipp Marx/Alexander Satschko,,N/A,,,,,
35955,Florent Serra/Maxime Teixeira,,N/A,,,,,
35956,Tristan Lamasine/Julien Obry,,N/A,,,,,
35957,Mikael Ymer,1998-09-09,SWE,890,25,0,25,0
35958,Marino Alpeza,1997-01-21,BIH,,,,,
35959,Nedim Ahmic,1997-12-09,BIH,,,,,
35960,Nicholas Shamma,1996-10-07,USA,,,,,
35961,Malaquias Bravo-Marvan,1977-03-17,MEX,,,,,
35962,Jose Alfredo Issa,1998-03-24,MEX,,,,,
35963,Alberto Riveroll Usabiaga,1995-01-13,MEX,,,,,
35964,Ervin Duratovic,1994-04-24,SWE,,,,,
35965,Niksa Ilic,1996-07-10,BIH,,,,,
35966,Lazar Jokic,1997-01-02,SRB,,,,,
35967,Henry Ogden,1992-01-24,GBR,,,,,
35968,Tonci Buljan,1985-04-14,CRO,,,,,
35969,Szymon Wieczorek,1996-09-13,POL,,,,,
35970,Andre Thorpe,1999-07-24,GBR,,,,,
35971,Ivan Solans,1998-02-28,ESP,,,,,
35972,Jordi Morey,1998-08-23,ESP,,,,,
35973,Victor Lochmann,1998-09-12,GER,,,,,
35974,Roger Lera,1998-05-17,ESP,,,,,
35975,Gerard Rodriguez Caballero,1998-12-02,ESP,,,,,
35976,Andrey Tobolnov,1996-10-22,RUS,,,,,
35977,Alvaro Barranco Vilaltella,1999-06-23,ESP,,,,,
35978,Nel Ferrer,1997-05-10,ESP,,,,,
35979,Stefan Vujic,1998-03-31,AUS,,,,,
35980,Ruben Companys,1995-04-24,ESP,,,,,
35981,Nick Kerhulas,1995-07-29,USA,,,,,
35982,Alex Ayguavives,1998-04-03,ESP,,,,,
35983,Alejandro Agelet De Saracibar,2000-01-10,ESP,,,,,
35984,Sergi Jordi Jimenez Ferrer,1997-04-09,ESP,,,,,
35985,Arturo Schmidt,1997-12-17,SUI,,,,,
35986,Adria Soriano Barrera,1999-06-02,ESP,372,126,125,4,0
35987,Timothy Vaughan-Sanders,1984-02-20,NZL,,,,,
35988,Gabriel Chappuis,1997-03-30,SUI,,,,,
35989,Pierre Gimla,1959-02-28,FRA,,,,,
35990,Amar Galijasevic,1996-10-10,SWE,,,,,
35991,Egor Spirin,1999-02-08,RUS,,,,,
35992,Semen Kolkunov,1995-07-19,RUS,,,,,
35993,Jonathan Prince,1995-10-18,USA,,,,,
35994,Jay Grollman,1976-09-19,USA,,,,,
35995,Andrew Harrington,1995-09-20,USA,,,,,
35996,Jericho Grollman,2000-04-01,USA,,,,,
35997,Pedro Gabriel Rodrigues,1996-04-27,BRA,,,,,
35998,Gabriel Pipko,1997-11-14,USA,,,,,
35999,Chutian Wen,1995-12-04,CHN,,,,,
36000,Tripp Tuff,1997-09-08,USA,,,,,
36001,Hampton Callaghan,1997-05-21,USA,,,,,
36002,Oliver Landert,1995-10-08,USA,,,,,
36003,Noah Sutter,1997-08-26,USA,,,,,
36004,Hyeon Sung Kim,2001-07-31,KOR,,,,,
36006,Matthias Schleicher,,GER,,,,,
36007,Thibault Fradet,1995-05-29,FRA,,,,,
36008,John Isner/Scott Lipsky,,N/A,,,,,
36009,Robin Haase/Feliciano Lopez,,N/A,,,,,
36010,Vasek Pospisil/Dmitry Tursunov,,N/A,,,,,
36011,Marin Cilic/Santiago Gonzalez,,N/A,,,,,
36012,Grigor Dimitrov/Lukas Rosol,,N/A,,,,,
36013,Alexander Kudryavtsev/Amir Weintraub,,N/A,,,,,
36014,Hsin-Han Lee/Jimmy Wang,,N/A,,,,,
36015,Jamie Delgado/John-Patrick Smith,,N/A,,,,,
36016,Mao-Xin Gong/Hsien-Yin Peng,,N/A,,,,,
36017,Go Soeda/Tsung-Hua Yang,,N/A,,,,,
36018,Hans Podlipnik-Castillo/Adrian Sikora,,N/A,,,,,
36019,Olivier Charroin/Filip Peliwo,,N/A,,,,,
36020,Alexander Lobkov/Artem Smirnov,,N/A,,,,,
36021,Farrukh Dustov/Denys Molchanov,,N/A,,,,,
36022,Sarvar Ikramov/Djurabeck Karimov,,N/A,,,,,
36023,Toni Androic/Borna Coric,,N/A,,,,,
36024,Gerald Melzer/Marc Rath,,N/A,,,,,
36025,Aslan Karatsev/Pedja Krstin,,N/A,,,,,
