league,club,rank,player,status,matched_squad_name,closest_squad_names,fotmob_team_id,source_url,error
ligue-1,Auxerre,secondary,Romain Faivre,present,Romain Faivre,Romain Faivre,8583,https://www.fotmob.com/teams/8583/overview/auxerre,
ligue-1,Auxerre,tertiary,Josué Casimir,present,Josué Casimir,Josué Casimir,8583,https://www.fotmob.com/teams/8583/overview/auxerre,
ligue-1,Brest,primary,Ludovic Ajorque,present,Ludovic Ajorque,Ludovic Ajorque,8521,https://www.fotmob.com/teams/8521/overview/brest,
ligue-1,Brest,secondary,Kenny Lala,present,Kenny Lala,Kenny Lala,8521,https://www.fotmob.com/teams/8521/overview/brest,
ligue-1,Brest,tertiary,Kamory Doumbia,present,Kamory Doumbia,Kamory Doumbia,8521,https://www.fotmob.com/teams/8521/overview/brest,
ligue-1,Le Havre,primary,Mbwana Ally Samatta,present,Mbwana Samatta,Mbwana Samatta,9746,https://www.fotmob.com/teams/9746/overview/le-havre,
ligue-1,Le Havre,secondary,Rassoul Ndiaye,present,Rassoul Ndiaye,Rassoul Ndiaye,9746,https://www.fotmob.com/teams/9746/overview/le-havre,
ligue-1,Le Havre,tertiary,Josh Maja,present,Josh Maja,Josh Maja,9746,https://www.fotmob.com/teams/9746/overview/le-havre,
ligue-1,Le Mans,primary,Louis Mafouta,present,Louis Mafouta,Louis Mafouta,8682,https://www.fotmob.com/teams/8682/overview/le-mans,
ligue-1,Le Mans,secondary,Dame Gueye,present,Dame Gueye,Dame Gueye,8682,https://www.fotmob.com/teams/8682/overview/le-mans,
ligue-1,Le Mans,tertiary,Antoine Rabillard,present,Antoine Rabillard,Antoine Rabillard,8682,https://www.fotmob.com/teams/8682/overview/le-mans,
ligue-1,Lens,primary,Florian Thauvin,present,Florian Thauvin,Florian Thauvin | Florian Sotoca,8588,https://www.fotmob.com/teams/8588/overview/lens,
ligue-1,Lens,secondary,Odsonne Édouard,present,Odsonne Édouard,Odsonne Édouard,8588,https://www.fotmob.com/teams/8588/overview/lens,
ligue-1,Lens,tertiary,Thorgan Hazard,present,Thorgan Hazard,Thorgan Hazard | Jhoanner Chávez,8588,https://www.fotmob.com/teams/8588/overview/lens,
ligue-1,Lille,primary,Olivier Giroud,present,Olivier Giroud,Olivier Giroud,8639,https://www.fotmob.com/teams/8639/overview/lille,
ligue-1,Lille,secondary,Nabil Bentaleb,present,Nabil Bentaleb,Nabil Bentaleb,8639,https://www.fotmob.com/teams/8639/overview/lille,
ligue-1,Lille,tertiary,Hamza Igamane,present,Hamza Igamane,Hamza Igamane,8639,https://www.fotmob.com/teams/8639/overview/lille,
ligue-1,Lorient,primary,Aiyegun Tosin,present,Aiyegun Tosin,Aiyegun Tosin,8689,https://www.fotmob.com/teams/8689/overview/lorient,
ligue-1,Lorient,secondary,Mohamed Bamba,present,Mohamed Bamba,Mohamed Bamba | Noah Mbamba,8689,https://www.fotmob.com/teams/8689/overview/lorient,
ligue-1,Lorient,tertiary,Arsène Kouassi,present,Arsène Kouassi,Arsène Kouassi,8689,https://www.fotmob.com/teams/8689/overview/lorient,
ligue-1,Lyon,primary,Corentin Tolisso,present,Corentin Tolisso,Corentin Tolisso,9748,https://www.fotmob.com/teams/9748/overview/lyon,
ligue-1,Lyon,secondary,Loïs Openda,present,Loïs Openda,Loïs Openda,9748,https://www.fotmob.com/teams/9748/overview/lyon,
ligue-1,Lyon,tertiary,Pavel Šulc,present,Pavel Sulc,Pavel Sulc,9748,https://www.fotmob.com/teams/9748/overview/lyon,
ligue-1,Marseille,primary,Amine Gouiri,present,Amine Gouiri,Amine Gouiri | Amine Harit,8592,https://www.fotmob.com/teams/8592/overview/marseille,
ligue-1,Marseille,secondary,Himad Abdelli,present,Himad Abdelli,Himad Abdelli,8592,https://www.fotmob.com/teams/8592/overview/marseille,
ligue-1,Marseille,tertiary,Pierre-Emile Højbjerg,present,Pierre-Emile Højbjerg,Pierre-Emile Højbjerg,8592,https://www.fotmob.com/teams/8592/overview/marseille,
ligue-1,Monaco,primary,Folarin Balogun,present,Folarin Balogun,Folarin Balogun,9829,https://www.fotmob.com/teams/9829/overview/monaco,
ligue-1,Monaco,secondary,Ansu Fati,present,Ansu Fati,Ansu Fati,9829,https://www.fotmob.com/teams/9829/overview/monaco,
ligue-1,Monaco,tertiary,Denis Zakaria,present,Denis Zakaria,Denis Zakaria,9829,https://www.fotmob.com/teams/9829/overview/monaco,
ligue-1,Nice,primary,Sofiane Diop,present,Sofiane Diop,Sofiane Diop,9831,https://www.fotmob.com/teams/9831/overview/nice,
ligue-1,Nice,secondary,Jonathan Clauss,present,Jonathan Clauss,Jonathan Clauss,9831,https://www.fotmob.com/teams/9831/overview/nice,
ligue-1,Nice,tertiary,Elye Wahi,present,Elye Wahi,Elye Wahi,9831,https://www.fotmob.com/teams/9831/overview/nice,
ligue-1,Paris FC,primary,Lassine Sinayoko,present,Lassine Sinayoko,Lassine Sinayoko,6379,https://www.fotmob.com/teams/6379/overview/paris-fc,
ligue-1,Paris FC,secondary,Ilan Kebbal,present,Ilan Kebbal,Ilan Kebbal,6379,https://www.fotmob.com/teams/6379/overview/paris-fc,
ligue-1,Paris FC,tertiary,Pablo Pagis,present,Pablo Pagis,Pablo Pagis,6379,https://www.fotmob.com/teams/6379/overview/paris-fc,
ligue-1,Paris Saint Germain,primary,Ousmane Dembélé,present,Ousmane Dembélé,Ousmane Dembélé,9847,https://www.fotmob.com/teams/9847/overview/paris-saint-germain,
ligue-1,Paris Saint Germain,secondary,Khvicha Kvaratskhelia,present,Khvicha Kvaratskhelia,Khvicha Kvaratskhelia,9847,https://www.fotmob.com/teams/9847/overview/paris-saint-germain,
ligue-1,Paris Saint Germain,tertiary,Nuno Mendes,present,Nuno Mendes,Nuno Mendes,9847,https://www.fotmob.com/teams/9847/overview/paris-saint-germain,
ligue-1,Rennes,primary,Estéban Lepaul,present,Estéban Lepaul,Estéban Lepaul,9851,https://www.fotmob.com/teams/9851/overview/rennes,
ligue-1,Rennes,secondary,Ludovic Blas,present,Ludovic Blas,Ludovic Blas,9851,https://www.fotmob.com/teams/9851/overview/rennes,
ligue-1,Rennes,tertiary,Issa Soumaré,present,Issa Soumaré,Issa Soumaré,9851,https://www.fotmob.com/teams/9851/overview/rennes,
ligue-1,Strasbourg,primary,Joaquín Panichelli,present,Joaquín Panichelli,Joaquín Panichelli,9848,https://www.fotmob.com/teams/9848/overview/strasbourg,
ligue-1,Strasbourg,secondary,Sebastian Nanasi,present,Sebastian Nanasi,Sebastian Nanasi,9848,https://www.fotmob.com/teams/9848/overview/strasbourg,
ligue-1,Strasbourg,tertiary,Giovanni Reyna,present,Giovanni Reyna,Giovanni Reyna,9848,https://www.fotmob.com/teams/9848/overview/strasbourg,
ligue-1,Toulouse,primary,Aron Dønnum,present,Aron Dønnum,Aron Dønnum,9941,https://www.fotmob.com/teams/9941/overview/toulouse,
ligue-1,Toulouse,secondary,Cristian Cásseres Jr.,present,Cristian Cásseres,Cristian Cásseres,9941,https://www.fotmob.com/teams/9941/overview/toulouse,
ligue-1,Toulouse,tertiary,Yann Gboho,present,Yann Gboho,Yann Gboho,9941,https://www.fotmob.com/teams/9941/overview/toulouse,
ligue-1,Troyes,primary,Renaud Ripart,present,Renaud Ripart,Renaud Ripart,10242,https://www.fotmob.com/teams/10242/overview/troyes,
ligue-1,Troyes,secondary,Antoine Mille,present,Antoine Mille,Antoine Mille,10242,https://www.fotmob.com/teams/10242/overview/troyes,
ligue-1,Troyes,tertiary,Mouhamed Diop,present,Mouhamed Diop,Mouhamed Diop,10242,https://www.fotmob.com/teams/10242/overview/troyes,
serie-a,AC Milan,primary,Gonçalo Ramos,present,Gonçalo Ramos,Gonçalo Ramos,8564,https://www.fotmob.com/teams/8564/overview/milan,
serie-a,AC Milan,secondary,Christian Pulisic,present,Christian Pulisic,Christian Pulisic | Christian Comotto,8564,https://www.fotmob.com/teams/8564/overview/milan,
serie-a,AC Milan,tertiary,Luka Modrić,present,Luka Modric,Luka Modric | Fikayo Tomori,8564,https://www.fotmob.com/teams/8564/overview/milan,
serie-a,Atalanta,primary,Franck Kessié,present,Franck Kessié,Franck Kessié | Francesco Rossi,8524,https://www.fotmob.com/teams/8524/overview/atalanta,
serie-a,Atalanta,secondary,Gianluca Scamacca,present,Gianluca Scamacca,Gianluca Scamacca | Gianluca Gaetano,8524,https://www.fotmob.com/teams/8524/overview/atalanta,
serie-a,Atalanta,tertiary,Charles De Ketelaere,present,Charles De Ketelaere,Charles De Ketelaere,8524,https://www.fotmob.com/teams/8524/overview/atalanta,
serie-a,Bologna,primary,Riccardo Orsolini,present,Riccardo Orsolini,Riccardo Orsolini,9857,https://www.fotmob.com/teams/9857/overview/bologna,
serie-a,Bologna,secondary,Artem Dovbyk,present,Artem Dovbyk,Artem Dovbyk,9857,https://www.fotmob.com/teams/9857/overview/bologna,
serie-a,Bologna,tertiary,Federico Bernardeschi,present,Federico Bernardeschi,Federico Bernardeschi,9857,https://www.fotmob.com/teams/9857/overview/bologna,
serie-a,Cagliari,primary,Alessandro Deiola,present,Alessandro Deiola,Alessandro Deiola | Alessandro Romano,8529,https://www.fotmob.com/teams/8529/overview/cagliari,
serie-a,Cagliari,secondary,Jacopo Fazzini,present,Jacopo Fazzini,Jacopo Fazzini,8529,https://www.fotmob.com/teams/8529/overview/cagliari,
serie-a,Cagliari,tertiary,Yerry Mina,present,Yerry Mina,Yerry Mina | Harry Winks,8529,https://www.fotmob.com/teams/8529/overview/cagliari,
serie-a,Como,primary,Lucas Da Cunha,present,Lucas Da Cunha,Lucas Da Cunha,10171,https://www.fotmob.com/teams/10171/overview/como,
serie-a,Como,secondary,Nico Paz,present,Nico Paz,Nico Paz,10171,https://www.fotmob.com/teams/10171/overview/como,
serie-a,Como,tertiary,Tasos Douvikas,present,Anastasios Douvikas,Anastasios Douvikas,10171,https://www.fotmob.com/teams/10171/overview/como,
serie-a,Fiorentina,primary,Mateo Pellegrino,present,Mateo Pellegrino,Mateo Pellegrino,8535,https://www.fotmob.com/teams/8535/overview/fiorentina,
serie-a,Fiorentina,secondary,Beto,present,Beto,Beto,8535,https://www.fotmob.com/teams/8535/overview/fiorentina,
serie-a,Fiorentina,tertiary,Franco Mastantuono,present,Franco Mastantuono,Franco Mastantuono,8535,https://www.fotmob.com/teams/8535/overview/fiorentina,
serie-a,Frosinone,primary,Giacomo Calò,present,Giacomo Calò,Giacomo Calò,9891,https://www.fotmob.com/teams/9891/overview/frosinone,
serie-a,Frosinone,secondary,Ben Lhassine Kone,present,Benjamin Lhassine Kone,Benjamin Lhassine Kone,9891,https://www.fotmob.com/teams/9891/overview/frosinone,
serie-a,Frosinone,tertiary,Antonio Raimondo,present,Antonio Raimondo,Antonio Raimondo | Anthony Oyono,9891,https://www.fotmob.com/teams/9891/overview/frosinone,
serie-a,Genoa,primary,Lorenzo Colombo,present,Lorenzo Colombo,Lorenzo Colombo | Lorenzo Venturino,10233,https://www.fotmob.com/teams/10233/overview/genoa,
serie-a,Genoa,secondary,Junior Messias,present,Junior Messias,Junior Messias,10233,https://www.fotmob.com/teams/10233/overview/genoa,
serie-a,Genoa,tertiary,Vitinha,present,Vítinha,Vítinha,10233,https://www.fotmob.com/teams/10233/overview/genoa,
serie-a,Inter,primary,Hakan Çalhanoğlu,present,Hakan Çalhanoglu,Hakan Çalhanoglu,8636,https://www.fotmob.com/teams/8636/overview/inter,
serie-a,Inter,secondary,Lautaro Martínez,present,Lautaro Martínez,Lautaro Martínez | Josep Martínez,8636,https://www.fotmob.com/teams/8636/overview/inter,
serie-a,Inter,tertiary,Piotr Zieliński,present,Piotr Zielinski,Piotr Zielinski,8636,https://www.fotmob.com/teams/8636/overview/inter,
serie-a,Juventus,primary,Manuel Locatelli,present,Manuel Locatelli,Manuel Locatelli,9885,https://www.fotmob.com/teams/9885/overview/juventus,
serie-a,Juventus,secondary,Kenan Yıldız,present,Kenan Yildiz,Kenan Yildiz,9885,https://www.fotmob.com/teams/9885/overview/juventus,
serie-a,Juventus,tertiary,Randal Kolo Muani,present,Randal Kolo Muani,Randal Kolo Muani,9885,https://www.fotmob.com/teams/9885/overview/juventus,
serie-a,Lazio,primary,Mattia Zaccagni,present,Mattia Zaccagni,Mattia Zaccagni,8543,https://www.fotmob.com/teams/8543/overview/lazio,
serie-a,Lazio,secondary,Danilo Cataldi,present,Danilo Cataldi,Danilo Cataldi | Danilho Doekhi,8543,https://www.fotmob.com/teams/8543/overview/lazio,
serie-a,Lazio,tertiary,Kenneth Taylor,present,Kenneth Taylor,Kenneth Taylor,8543,https://www.fotmob.com/teams/8543/overview/lazio,
serie-a,Lecce,primary,Willem Geubbels,present,Willem Geubbels,Willem Geubbels,9888,https://www.fotmob.com/teams/9888/overview/lecce,
serie-a,Lecce,secondary,Nikola Štulić,present,Nikola Stulic,Nikola Stulic,9888,https://www.fotmob.com/teams/9888/overview/lecce,
serie-a,Lecce,tertiary,Santiago Pierotti,present,Santiago Pierotti,Santiago Pierotti,9888,https://www.fotmob.com/teams/9888/overview/lecce,
serie-a,Monza,primary,Matteo Pessina,present,Matteo Pessina,Matteo Pessina,6504,https://www.fotmob.com/teams/6504/overview/monza,
serie-a,Monza,secondary,Patrick Cutrone,present,Patrick Cutrone,Patrick Cutrone | Patrick Ciurria,6504,https://www.fotmob.com/teams/6504/overview/monza,
serie-a,Monza,tertiary,Andrea Colpani,present,Andrea Colpani,Andrea Colpani | Andrea Carboni,6504,https://www.fotmob.com/teams/6504/overview/monza,
serie-a,Napoli,primary,Kevin De Bruyne,present,Kevin De Bruyne,Kevin De Bruyne,9875,https://www.fotmob.com/teams/9875/overview/napoli,
serie-a,Napoli,secondary,Rasmus Højlund,present,Rasmus Højlund,Rasmus Højlund,9875,https://www.fotmob.com/teams/9875/overview/napoli,
serie-a,Napoli,tertiary,Matteo Politano,present,Matteo Politano,Matteo Politano,9875,https://www.fotmob.com/teams/9875/overview/napoli,
serie-a,Parma Calcio 1913,primary,El Bilal Touré,present,El Bilal Touré,El Bilal Touré,10167,https://www.fotmob.com/teams/10167/overview/parma,
serie-a,Parma Calcio 1913,secondary,Adrián Bernabé,present,Adrián Bernabé,Adrián Bernabé,10167,https://www.fotmob.com/teams/10167/overview/parma,
serie-a,Parma Calcio 1913,tertiary,Nesta Elphege,present,Nesta Elphege,Nesta Elphege,10167,https://www.fotmob.com/teams/10167/overview/parma,
serie-a,Roma,primary,Donyell Malen,present,Donyell Malen,Donyell Malen,8686,https://www.fotmob.com/teams/8686/overview/roma,
serie-a,Roma,secondary,Paulo Dybala,present,Paulo Dybala,Paulo Dybala,8686,https://www.fotmob.com/teams/8686/overview/roma,
serie-a,Roma,tertiary,Matías Soulé,present,Matias Soulé,Matias Soulé,8686,https://www.fotmob.com/teams/8686/overview/roma,
serie-a,Sassuolo,primary,Domenico Berardi,present,Domenico Berardi,Domenico Berardi,7943,https://www.fotmob.com/teams/7943/overview/sassuolo,
serie-a,Sassuolo,secondary,Sebastiano Esposito,present,Sebastiano Esposito,Sebastiano Esposito | Sebastian Walukiewicz,7943,https://www.fotmob.com/teams/7943/overview/sassuolo,
serie-a,Sassuolo,tertiary,Armand Laurienté,present,Armand Laurienté,Armand Laurienté,7943,https://www.fotmob.com/teams/7943/overview/sassuolo,
serie-a,Torino,primary,Nikola Vlašić,present,Nikola Vlasic,Nikola Vlasic,9804,https://www.fotmob.com/teams/9804/overview/torino,
serie-a,Torino,secondary,Duván Zapata,present,Duván Zapata,Duván Zapata,9804,https://www.fotmob.com/teams/9804/overview/torino,
serie-a,Torino,tertiary,Giovanni Simeone,present,Giovanni Simeone,Giovanni Simeone,9804,https://www.fotmob.com/teams/9804/overview/torino,
serie-a,Udinese,primary,Keinan Davis,present,Keinan Davis,Keinan Davis,8600,https://www.fotmob.com/teams/8600/overview/udinese,
serie-a,Udinese,secondary,Oumar Solet,present,Oumar Solet,Oumar Solet,8600,https://www.fotmob.com/teams/8600/overview/udinese,
serie-a,Udinese,tertiary,Nicolò Zaniolo,present,Nicolò Zaniolo,Nicolò Zaniolo | Nicolò Bertola,8600,https://www.fotmob.com/teams/8600/overview/udinese,
serie-a,Venezia,primary,Gianluca Busio,present,Gianluca Busio,Gianluca Busio,7881,https://www.fotmob.com/teams/7881/overview/venezia,
serie-a,Venezia,secondary,Akor Adams,present,Akor Adams,Akor Adams,7881,https://www.fotmob.com/teams/7881/overview/venezia,
serie-a,Venezia,tertiary,Albion Rrahmani,present,Albion Rrahmani,Albion Rrahmani,7881,https://www.fotmob.com/teams/7881/overview/venezia,
